URL,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
https://open.spotify.com/track/00xBJ1IJSkErFWuuHxLPoP,0.533,0.643,-7.593,0.0413,0.169,0,0.188,0.47,85.061
https://open.spotify.com/track/00xE0XQaGE9ScphTFr0PJM,0.744,0.598,-7.102,0.0273,0.03,0,0.121,0.502,110.006
https://open.spotify.com/track/010TvPu6fgBJL4usanmgAU,0.37,0.477,-7.403,0.0314,0.462,0,0.114,0.232,143.51
https://open.spotify.com/track/010YIYs2s7OIGCOrPkL98B,0.577,0.756,-5.82,0.115,0.159,0.000232,0.249,0.663,176.75
https://open.spotify.com/track/011NtiyI7P4xlIQHar3p9h,0.605,0.701,-4.566,0.0497,0.249,0,0.105,0.244,146.049
https://open.spotify.com/track/011OJyic8zeFT0zEqdGFIC,0.652,0.56,-8.894,0.056,0.00236,0.00011,0.108,0.112,110.059
https://open.spotify.com/track/0122LSJ8Z2gjlvCw5bZHFM,0.682,0.492,-7.148,0.0313,0.0538,1.51E-05,0.106,0.254,93.987
https://open.spotify.com/track/012aKLwXMuhd18Z7Z747rJ,0.558,0.603,-6.08,0.0281,0.659,0.000237,0.107,0.296,119.961
https://open.spotify.com/track/013J68hv77gxOguJoCrIrC,0.17,0.0676,-27.68,0.0344,0.983,0.000831,0.112,0.276,79.983
https://open.spotify.com/track/014J7jX1wSv0manSdRnveo,0.608,0.648,-5.569,0.036,0.0194,0.00104,0.0897,0.114,121.96
https://open.spotify.com/track/015RPkpVsPizETsTU4csTG,0.79,0.782,-2.777,0.0426,0.0234,6.98E-05,0.174,0.293,99.997
https://open.spotify.com/track/0181HMomm7xM3Ks5YNlA9X,0.742,0.602,-10.196,0.0505,0.286,0,0.338,0.422,130.007
https://open.spotify.com/track/01AMyxa2veAFef5xqRpJtm,0.648,0.759,-6.523,0.153,0.512,2.65E-06,0.109,0.425,119.772
https://open.spotify.com/track/01BH84YKAUW6My06QFJ8wi,0.72,0.66,-5.901,0.0442,0.131,6.10E-06,0.123,0.625,135.006
https://open.spotify.com/track/01CoJ5SrLd5V9nm9oD3b1m,0.613,0.711,-7.614,0.0238,0.00159,0.000981,0.141,0.432,91.954
https://open.spotify.com/track/01GZjSSjSSpvTnDNdR8r3Y,0.595,0.751,-4.711,0.0601,0.133,0,0.317,0.837,109.493
https://open.spotify.com/track/01L2i7hu65g1DyEgfU2GUv,0.43,0.526,-7.512,0.0424,0.0176,0.000353,0.123,0.409,144.354
https://open.spotify.com/track/01LWBjJwFdRSCeovqipb3D,0.545,0.23,-16.044,0.0263,0.461,0,0.197,0.297,101.019
https://open.spotify.com/track/01LZc2mZVx7C9r5llieTF4,0.511,0.771,-5.436,0.0385,0.18,6.85E-06,0.148,0.456,156.012
https://open.spotify.com/track/01M85JZm3JMyHrWzvkfO5X,0.71,0.857,-2.801,0.0445,0.517,0,0.072,0.79,109.993
https://open.spotify.com/track/01MeMIqVzZXeHZXTq9MZuj,0.831,0.528,-8.008,0.0791,0.234,9.77E-05,0.112,0.55,109.925
https://open.spotify.com/track/01NAg7MfhRa4w3H6yA3Hc7,0.841,0.604,-9.52,0.202,0.253,0.00598,0.122,0.32,124.967
https://open.spotify.com/track/01TsJIxTPJpn1IjYdBPIGU,0.391,0.899,-3.916,0.112,0.347,0,0.199,0.581,167.028
https://open.spotify.com/track/01TuWG481swg4qJw9DPJb5,0.58,0.295,-10.154,0.0502,0.808,0,0.236,0.643,169.143
https://open.spotify.com/track/01U6WT6MCIejFGFOTXd8fb,0.647,0.522,-7.069,0.0577,0.069,0,0.225,0.345,133.044
https://open.spotify.com/track/01Ub2h3U861zjYENDvsOLB,0.742,0.63,-8.622,0.0973,0.774,0.0215,0.124,0.214,110
https://open.spotify.com/track/01VXGDL8Ox3SWmvM8ZyvSB,0.481,0.885,-5.041,0.0422,0.000963,7.94E-05,0.444,0.631,160.041
https://open.spotify.com/track/01VvADRZqvXrHfwAKUOS8v,0.954,0.578,-7.094,0.316,0.0691,0,0.102,0.26,127.061
https://open.spotify.com/track/01WV3ZRSNvtkhChndUxLcn,0.603,0.887,-4.514,0.374,0.107,0,0.22,0.736,174.134
https://open.spotify.com/track/01Wh1O5hJVX2fyoAe8XjYE,0.891,0.887,-2.055,0.0433,0.226,0,0.139,0.732,120.042
https://open.spotify.com/track/01YCXtGSFPt6biDZXrd436,0.672,0.502,-9.119,0.096,0.0212,0.000108,0.134,0.37,67.356
https://open.spotify.com/track/01YEqVPCm0vqRLA9w43bic,0.404,0.174,-10.192,0.0312,0.893,0,0.0977,0.324,87.636
https://open.spotify.com/track/01a0J96fRD91VnjQQUCqMK,0.527,0.941,-4.213,0.0377,0.00594,2.89E-05,0.0641,0.793,99.636
https://open.spotify.com/track/01afuV689RNz1MKDhGuwWG,0.329,0.669,-7.125,0.0434,0.00911,8.76E-06,0.23,0.33,82.916
https://open.spotify.com/track/01dCuK62A6QZ8L9ONTyMVo,0.809,0.688,-6.41,0.161,0.165,1.55E-06,0.118,0.305,123.021
https://open.spotify.com/track/01i3BDtgXG4mXQ3lXIWfqj,0.346,0.802,-5.135,0.133,0.143,0,0.207,0.624,179.547
https://open.spotify.com/track/01iiEi9h8CQGUN2K1xBbTj,0.409,0.792,-5.68,0.0415,0.0881,0.000576,0.103,0.195,95.072
https://open.spotify.com/track/01iyCAUm8EvOFqVWYJ3dVX,0.543,0.87,-6.514,0.0428,0.358,0.000939,0.792,0.754,100.804
https://open.spotify.com/track/01iyINEYgPQ7ThMZuHUsqS,0.619,0.938,-5.245,0.35,0.0257,1.39E-05,0.128,0.601,94.38
https://open.spotify.com/track/01rtYrk7VtuIgNcVfOaVaN,0.718,0.783,-4.568,0.0658,0.1,0,0.148,0.652,155.093
https://open.spotify.com/track/01rzUUc2HwuTgXw2V3U9zA,0.751,0.698,-4.41,0.053,0.211,5.15E-05,0.13,0.345,120.001
https://open.spotify.com/track/01t2YWN3XDMuH7ygOZYCIU,0.487,0.577,-6.929,0.0334,0.119,0,0.181,0.238,127.842
https://open.spotify.com/track/01tHOHeBwam4SA8h47hUdd,0.479,0.662,-7.241,0.103,0.199,3.94E-06,0.109,0.452,164.435
https://open.spotify.com/track/01uk7IzZyFNfQTDBXxx6NB,0.672,0.53,-6.43,0.0284,0.367,0,0.321,0.485,103.326
https://open.spotify.com/track/01uqI4H13Gsd8Lyl1EYd8H,0.688,0.473,-9.059,0.167,0.716,4.46E-05,0.104,0.299,84.958
https://open.spotify.com/track/01vHGJRvJ6EZW9KO8NtZpi,0.811,0.681,-4.715,0.0712,0.673,0,0.636,0.468,134.062
https://open.spotify.com/track/01zbk3LSveAB06mayydQBR,0.655,0.827,-6.535,0.0687,0.124,0.000593,0.113,0.665,131.987
https://open.spotify.com/track/020mPSviVz90DTlyfxofDJ,0.531,0.63,-5.677,0.0433,0.216,0,0.054,0.328,77.353
https://open.spotify.com/track/022a9bG2NNI1i7SVjX4Xq4,0.642,0.637,-7.291,0.159,0.839,0,0.373,0.787,159.965
https://open.spotify.com/track/022vRxnKGrZnWEdip4mYJD,0.564,0.627,-5.981,0.0257,0.119,0,0.0952,0.586,140.119
https://open.spotify.com/track/023lag1AgeOf7YChojecRu,0.838,0.764,-5.076,0.0586,0.0862,0.000122,0.0906,0.924,133.592
https://open.spotify.com/track/027DJzimsjm1M1hflEWLnv,0.588,0.741,-5.48,0.038,0.452,0.000106,0.145,0.148,131.68
https://open.spotify.com/track/029j8ulBqsmVX2kBT6CGan,0.627,0.919,-5.446,0.137,0.00656,5.92E-05,0.219,0.465,79
https://open.spotify.com/track/02Bvl0U2X83Evijr9qrAmJ,0.539,0.928,-4.69,0.0572,0.00177,1.15E-05,0.189,0.345,150.026
https://open.spotify.com/track/02COrEtecLsZxHHJyCkNja,0.575,0.786,-3.251,0.0525,0.00417,0,0.0893,0.352,123.907
https://open.spotify.com/track/02DknGLIwU3L0USTonqYS1,0.329,0.421,-10.26,0.0394,0.514,4.70E-06,0.141,0.257,158.489
https://open.spotify.com/track/02F3DO2nYiTtKvZfdQHLIH,0.756,0.834,-4.787,0.0433,0.0696,0.000996,0.134,0.965,113.902
https://open.spotify.com/track/02FKjeU8CrA2ckppBa5RJg,0.585,0.539,-5.105,0.039,0.603,0,0.229,0.5,120.095
https://open.spotify.com/track/02IBlc6IBouKubS9De3TWG,0.467,0.189,-17.06,0.0731,0.84,0.000329,0.114,0.379,174.332
https://open.spotify.com/track/02IJFWVjLSM811RsySQusA,0.546,0.494,-7.426,0.157,0.499,0,0.108,0.353,153.301
https://open.spotify.com/track/02Ilno0GQjWvVpsYYHIpl7,0.667,0.464,-7.045,0.0761,0.0106,0,0.0675,0.247,100.412
https://open.spotify.com/track/02Io6R1p3g7HXae5QoOtxo,0.426,0.687,-8.289,0.0393,0.182,0.0992,0.0943,0.23,125.155
https://open.spotify.com/track/02KgB1Qyk4PrFweUMGl9NO,0.431,0.286,-15.688,0.0387,0.876,0.00213,0.111,0.182,129.606
https://open.spotify.com/track/02LZ1fGJE8fB56yTlCVMEV,0.914,0.624,-6.112,0.0531,0.00348,0.00389,0.395,0.346,109.977
https://open.spotify.com/track/02M6vucOvmRfMxTXDUwRXu,0.747,0.705,-5.137,0.126,0.0128,0,0.126,0.56,136.024
https://open.spotify.com/track/02NaJbCq5wTYOqiK6afCe9,0.552,0.73,-7.237,0.154,0.00522,0,0.222,0.578,122.135
https://open.spotify.com/track/02OtqoVbJh8fkN4l0XRRcq,0.675,0.78,-4.41,0.104,0.57,0,0.166,0.544,105.036
https://open.spotify.com/track/02RSRRHHJ0hLQfMQrwoG40,0.456,0.127,-14.661,0.0313,0.902,0,0.449,0.228,86.957
https://open.spotify.com/track/02RaNOB5CIiXAhgvLE6Xp0,0.656,0.675,-7.455,0.0457,0.119,0,0.0925,0.353,126.889
https://open.spotify.com/track/02UNF1uo5f0UNgc1qx5XGt,0.765,0.769,-3.16,0.0595,0.167,0,0.0854,0.581,103.006
https://open.spotify.com/track/02WacdrRpm4zlP8H7X6bnQ,0.608,0.174,-8.796,0.0332,0.851,1.92E-05,0.0855,0.193,112.175
